Location Name,Location Type,Value Category,Value Name,Secondary Value Name,METRIC
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.23
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Other,,0.04
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteer Rate,2017,,0.35
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.35
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.35
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.35
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.35
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.36
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Generations 2017,Gen X,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Generations 2017,Boomers,,0.33
"Cincinnati, OH-KY-IN Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.02
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Educational or youth service,,0.18
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.01
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Hospital or other health,,0.06
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Public safety,,
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Religious,,0.17
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,Social or community service,,0.21
"Cincinnati, OH-KY-IN Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.30
"Cincinnati, OH-KY-IN Metro Area",,Organizations 2017,Other,,0.06
"Cleveland-Elyria, OH Metro Area",,Volunteer Rate,2017,,0.30
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Race - Rates (2017),White,,0.34
"Cleveland-Elyria, OH Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.30
"Cleveland-Elyria, OH Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.31
"Cleveland-Elyria, OH Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.30
"Cleveland-Elyria, OH Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.31
"Cleveland-Elyria, OH Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Generations 2017,Millennials,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Generations 2017,Gen X,,
"Cleveland-Elyria, OH Metro Area",,Volunteering by Generations 2017,Boomers,,0.24
"Cleveland-Elyria, OH Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.02
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Educational or youth service,,0.14
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Environmental or animal care,,0.03
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Hospital or other health,,0.04
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Public safety,,0.02
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Religious,,0.20
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Social or community service,,0.18
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.35
"Cleveland-Elyria, OH Metro Area",,Organizations 2017,Other,,0.03
"Columbus, OH Metro Area",,Volunteer Rate,2017,,0.31
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Columbus, OH Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Columbus, OH Metro Area",,Volunteering by Race - Rates (2017),White,,0.31
"Columbus, OH Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Columbus, OH Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Columbus, OH Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.30
"Columbus, OH Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.28
"Columbus, OH Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.33
"Columbus, OH Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Columbus, OH Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.32
"Columbus, OH Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Columbus, OH Metro Area",,Volunteering by Generations 2017,Millennials,,
"Columbus, OH Metro Area",,Volunteering by Generations 2017,Gen X,,
"Columbus, OH Metro Area",,Volunteering by Generations 2017,Boomers,,
"Columbus, OH Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Columbus, OH Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Columbus, OH Metro Area",,Organizations 2017,Educational or youth service,,
"Columbus, OH Metro Area",,Organizations 2017,Environmental or animal care,,
"Columbus, OH Metro Area",,Organizations 2017,Hospital or other health,,
"Columbus, OH Metro Area",,Organizations 2017,Public safety,,
"Columbus, OH Metro Area",,Organizations 2017,Religious,,
"Columbus, OH Metro Area",,Organizations 2017,Social or community service,,
"Columbus, OH Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Columbus, OH Metro Area",,Organizations 2017,Other,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteer Rate,2017,,0.27
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,0.18
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,0.32
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.33
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.29
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.25
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,0.29
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.28
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Race - Rates (2017),White,,0.25
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Race - Rates (2017),Black,,0.32
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,0.15
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.31
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.23
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.32
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.27
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Generations 2017,Millennials,,0.29
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Generations 2017,Gen X,,0.30
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Generations 2017,Boomers,,0.28
"Dallas-Fort Worth-Arlington, TX Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.04
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Educational or youth service,,0.13
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Environmental or animal care,,0.02
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Hospital or other health,,0.02
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Public safety,,0.01
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Religious,,0.30
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Social or community service,,0.28
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.24
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.18
"Dallas-Fort Worth-Arlington, TX Metro Area",,Organizations 2017,Other,,0.01
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteer Rate,2017,,0.31
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Race - Rates (2017),White,,0.29
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.35
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.26
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.35
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.29
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Generations 2017,Millennials,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Generations 2017,Gen X,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Generations 2017,Boomers,,
"Denver-Aurora-Lakewood, CO Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Jacksonville, FL Metro Area",,Volunteering by Race - Rates (2017),White,,0.31
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Educational or youth service,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Environmental or animal care,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Hospital or other health,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Public safety,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Religious,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Social or community service,,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Denver-Aurora-Lakewood, CO Metro Area",,Organizations 2017,Other,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteer Rate,2017,,0.27
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,0.21
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.37
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.31
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.29
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,0.28
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.26
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Race - Rates (2017),White,,0.32
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Race - Rates (2017),Black,,0.16
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.28
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.30
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.27
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Generations 2017,Millennials,,0.21
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Generations 2017,Gen X,,0.35
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Generations 2017,Boomers,,0.27
"Detroit-Warren-Dearborn, MI Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.05
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Educational or youth service,,0.14
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Environmental or animal care,,0.03
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Hospital or other health,,0.04
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Public safety,,0.02
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Religious,,0.26
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Social or community service,,0.22
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.21
"Detroit-Warren-Dearborn, MI Metro Area",,Organizations 2017,Other,,0.03
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteer Rate,2017,,0.33
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Race - Rates (2017),White,,0.35
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.38
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.35
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.31
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.34
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Generations 2017,Millennials,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Generations 2017,Gen X,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Generations 2017,Boomers,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Educational or youth service,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Environmental or animal care,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Hospital or other health,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Public safety,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Religious,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Social or community service,,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Hartford-West Hartford-East Hartford, CT Metro Area",,Organizations 2017,Other,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteer Rate,2017,,0.31
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,0.25
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.45
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.40
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.26
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.28
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Race - Rates (2017),White,,0.32
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Race - Rates (2017),Black,,0.36
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,0.22
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.35
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.26
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.36
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.31
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Generations 2017,Millennials,,0.27
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Generations 2017,Gen X,,0.40
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Generations 2017,Boomers,,0.30
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.02
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Educational or youth service,,0.12
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Environmental or animal care,,0.01
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Hospital or other health,,0.04
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Public safety,,0.01
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Religious,,0.24
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Social or community service,,0.29
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.19
"Houston-The Woodlands-Sugar Land, TX Metro Area",,Organizations 2017,Other,,0.08
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteer Rate,2017,,0.43
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Race - Rates (2017),White,,0.47
"Jacksonville, FL Metro Area",,Organizations 2017,Other,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.44
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.38
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.48
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.44
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Generations 2017,Millennials,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Generations 2017,Gen X,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Generations 2017,Boomers,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
